country_iso,country_name,year,region,CP1,CP2,maturity_digital,efficiency_dea,ICDI,ICDI_rank
FIN,Finlândia,2023,Europa,1.196394683818227,0.8003173056363887,1.0,1.0,100.0,1
PRT,Portugal,2023,Europa,0.863370851052437,0.9878248501035566,0.9877290003634784,1.0,99.26374002180872,2
AUS,Austrália,2023,Ásia-Pacífico,0.7653986306057031,0.9725051385286386,0.9714307514873196,1.0,98.28584508923917,3
KOR,Coreia do Sul,2023,Ásia,1.7010372550342114,0.17890060747222963,0.9578776097867752,1.0,97.4726565872065,4
EST,Estônia,2023,Europa,2.3067786634083487,-0.3246370444155044,0.9509482927038062,1.0,97.05689756222837,5
GBR,Reino Unido,2023,Europa,1.6713952088820292,-0.002990075229962842,0.9210369714799478,1.0,95.26221828879686,6
ESP,Espanha,2023,Europa,0.7861328196929036,0.5279172102277138,0.8942617449558801,1.0,93.6557046973528,7
CHN,China,2023,Ásia,0.7776971748035686,0.48519329433291736,0.8854047354206129,1.0,93.12428412523678,8
SWE,Suécia,2023,Europa,0.86204036837153,0.08939249429544678,0.8258095536352792,1.0,89.54857321811676,9
PER,Peru,2023,ALC,-1.2094384194780445,1.473619233600545,0.7887058554408763,1.0,87.32235132645259,10
IND,Índia,2023,Ásia,-0.5462203346849708,0.9292743798551022,0.7823740868301453,1.0,86.94244520980871,11
NOR,Noruega,2023,Europa,1.7016667181525682,-0.8814361982253469,0.7670830422164594,1.0,86.02498253298756,12
USA,Estados Unidos,2023,América do Norte,-0.005716418500646278,0.42328687680617655,0.7659875023041091,1.0,85.95925013824655,13
NZL,Nova Zelândia,2023,Ásia-Pacífico,0.4981775371175529,0.024627778123270428,0.7638624152398461,1.0,85.83174491439077,14
FRA,França,2023,Europa,1.3024744007711178,-0.627986816546498,0.7575379603625533,1.0,85.4522776217532,15
CAN,Canadá,2023,América do Norte,-0.6098964151210146,0.800548187986533,0.7504003817471153,1.0,85.02402290482691,16
DEU,Alemanha,2023,Europa,1.42087071565503,-0.8158157361538084,0.740088186785972,1.0,84.40529120715831,17
NLD,Países Baixos,2023,Europa,1.6541811605732366,-1.088364456971925,0.7232690564358553,1.0,83.39614338615131,18
IRL,Irlanda,2023,Europa,0.06067177459644994,0.031128460709203096,0.7045665236735014,1.0,82.27399142041007,19
DNK,Dinamarca,2023,Europa,1.5657653798775668,-1.2529382594407552,0.6814228860301484,1.0,80.8853731618089,20
JPN,Japão,2023,Ásia,0.470079176812323,-0.45721955135863523,0.6732370047039539,1.0,80.39422028223724,21
MEX,México,2023,ALC,-0.6630357711533241,0.39224639774446224,0.6695537920495798,1.0,80.17322752297478,22
SGP,Singapura,2023,Ásia,0.13427112331898064,-0.03623837862623092,0.7026110711340333,0.8979311320965137,78.07390955190255,23
ITA,Itália,2023,Europa,0.17659059181681624,-0.5015264851373491,0.6246988498076425,1.0,77.48193098845854,24
CHL,Chile,2023,ALC,0.10662523223616772,-0.1492596950477538,0.6784441603368976,0.7694718585558808,71.4855239624491,25
BRA,Brasil,2023,ALC,-1.137191187585774,-0.08724540053702873,0.5177044364325218,0.6513797989185023,57.117458142691405,26
ARG,Argentina,2023,ALC,-3.799842945648184,0.12063678584922935,0.1871315388026077,0.8823988123390268,46.52384482171754,27
COL,Colômbia,2023,ALC,-3.994452029456533,-0.6388680957728763,0.023509420675267973,0.875353413629393,36.4247017856918,28
URY,Uruguai,2023,ALC,-3.7982426977062986,-0.9200973926450712,0.0,0.9002792523947176,36.01117009578871,29
ZAF,África do Sul,2023,África,-4.2575832472619775,-0.4527954151626684,0.020639731320379693,0.653562269783946,27.380874670580624,30
